ROI,Z_view_gt_baseline,Beta_view_gt_baseline,Z_recall_gt_baseline,Beta_recall_gt_baseline,Z_imagine_gt_baseline,Beta_imagine_gt_baseline,Z_view_gt_recall,Beta_view_gt_recall,Z_view_gt_imagine,Beta_view_gt_imagine,Z_recall_gt_imagine,Beta_recall_gt_imagine
Frontal Medial Cortex,0.4270618677744429,0.41394264255609614,0.37295544953970994,0.3504995968534393,0.05214740952913348,0.06396252279566185,0.20075716221806497,0.2631163661115502,0.5440911587347137,0.789253432148275,0.49687412682857535,0.6393061527680256
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.47053667990734743,0.3926009912048023,0.26880516744271077,0.24556821590550765,0.17203285370415392,0.15477851931862516,0.6356265944806292,0.6271841285247187,0.6380347391541865,0.5301754618031419,0.26867849624405116,0.19520659521852649
Subcallosal Cortex,0.3619862132888785,0.3632600789141216,0.35036127620651125,0.3631770330339622,0.03830094179629989,0.08696622444623989,-0.06458938208398465,-0.005423096708897924,0.5478365297258452,0.6251538216860322,0.5432106824390397,0.6191909619160751
Paracingulate Gyrus,-0.1258529063612293,-0.10446505856304651,-0.16479811677358414,-0.1326132242462786,-0.3737223711317351,-0.26726051324815814,0.14233562722829798,0.11989818727858617,0.3146991580908335,0.39879337504115003,0.30118614014229284,0.3323002769178647
"Cingulate Gyrus, anterior division",0.00975635249401354,0.02139926683385836,-0.06898756486110895,-0.04521324378165694,-0.2637344821252764,-0.20201059048867165,0.3436419114271413,0.286028629720646,0.4573995932860065,0.5306463965753894,0.349645459964287,0.37721570018594774
"Cingulate Gyrus, posterior division",0.2308960086738597,0.1736017511634208,0.11802885205994865,0.09676602339490595,-0.32201493736457437,-0.20584886151751886,0.386562463468552,0.32880708746492565,0.6710773868250346,0.8876003463249222,0.6312788860305446,0.703646282228576
Precuneous Cortex,-0.08061429305950656,-0.0438897070227539,-0.13996580944067213,-0.09318795258392405,-0.3343141315446786,-0.2616374194310342,0.23418502780545533,0.2154485415220889,0.43385609512637396,0.5276476870648816,0.4067709632475375,0.40601301509498744
Cuneal Cortex,-0.016539790216211932,0.00021221126950403066,0.19803482255398128,0.20858464112475128,-0.0835159972966285,-0.09499195488415782,-0.39919886048690767,-0.8793509875741146,0.1947101891314856,0.2439226159192042,0.831184125076199,0.7021772042725148
Frontal Orbital Cortex,-0.06301363837313778,-0.06371181018253445,-0.055539868217715005,-0.06652481743809885,-0.04976493771498216,-0.04571181599437917,0.005647866038423614,0.011280256527339156,-0.04047765040476787,-0.033544003452609196,-0.04918331140207304,-0.039535689878719533
"Parahippocampal Gyrus, anterior division",-0.009144548160526627,-0.009903056349766652,-0.046216035464218444,-0.029036225591680686,-0.11793274026375143,-0.09988650767542046,0.05077284376604515,0.08122933954811813,0.24974715248513937,0.2186600595415122,0.18545353014881322,0.17182995905945334
"Parahippocampal Gyrus, posterior division",0.1966690970932326,0.20723335841480003,-0.005824258416544854,0.05239119736358713,0.02772663624914697,0.10038656216660105,0.5258460145020728,0.6633190939584408,0.262324361708405,0.23757125026674863,-0.14895800134884546,-0.11579609889836955
Lingual Gyrus,-0.31498340373948025,-0.2667583074506434,-0.23182687873185917,-0.24626075609745793,-0.36999940643375195,-0.3623312419482293,-0.05996426401556719,-0.08879563120215056,0.15539582029116875,0.26809146875743245,0.32038394159206934,0.3042340773284152
"Temporal Fusiform Cortex, anterior division",0.12926194345452754,0.05173541136380683,-0.043442342987424144,-0.0743032571016161,0.13763147816882343,0.08704806208257189,0.507407798254699,0.5362931594636836,-0.10362954031493389,-0.08746476993357587,-0.40793882263473846,-0.37254131023540143
